ID;Size;Model;y_obs;y_hat;Res
4;0.0245;1;0.02;0.005367339;0.014632661
4;0.0215;1;0.02;0.004452397;0.015547603
4;0.0185;1;0.02;0.003590957;0.016409043
4;0.016;1;0.02;0.002917394;0.017082606
4;0.014;1;0.02;0.002410011;0.017589989
4;0.012;1;0.02;0.001932991;0.018067009
4;0.0105;1;0.02;0.001596809;0.018403191
5;224.4065;1;100;96.15992141;3.840078587
5;195.45;1;99.82;95.35953749;4.460462515
5;170.2295;1;99.26;94.40202288;4.857977116
5;148.2635;1;98.2;93.26090275;4.939097253
5;129.132;1;96.49;91.90711721;4.582882791
5;112.4695;1;94.06;90.30967014;3.750329859
5;97.957;1;90.87;88.43657075;2.433429251
5;85.317;1;86.97;86.25648462;0.713515376
5;74.308;1;82.46;83.74094162;-1.280941619
5;64.7195;1;77.49;80.8670756;-3.377075604
5;56.3685;1;72.22;77.62109014;-5.401090138
5;49.095;1;66.84;74.00142191;-7.161421914
5;42.76;1;61.5;70.02237525;-8.522375247
5;37.2425;1;56.33;65.71652574;-9.386525745
5;32.437;1;51.41;61.13553125;-9.725531254
5;28.2515;1;46.81;56.34892412;-9.538924123
5;24.606;1;42.54;51.44093311;-8.900933114
5;21.431;1;38.6;46.50514939;-7.905149393
5;18.6655;1;34.97;41.63653874;-6.666538736
5;16.257;1;31.62;36.9260715;-5.306071495
5;14.1595;1;28.53;32.4526831;-3.922683099
5;12.3325;1;25.68;28.27796862;-2.597968618
5;10.741;1;23.04;24.445347;-1.405346996
5;9.355;1;20.61;20.98052458;-0.37052458
5;8.148;1;18.37;17.89090608;0.479093922
5;7.0965;1;16.3;15.1683332;1.131666797
5;6.1805;1;14.4;12.79500047;1.604999525
5;5.383;1;12.65;10.74664947;1.903350525
5;4.6885;1;11.04;8.992640898;2.047359102
5;4.0835;1;9.55;7.500603761;2.049396239
5;3.5565;1;8.17;6.238988639;1.931011361
5;3.0975;1;6.89;5.177672802;1.712327198
5;2.698;1;5.69;4.289209467;1.400790533
5;2.35;1;4.58;3.54744527;1.03255473
5;2.0465;1;3.56;2.929264127;0.630735873
5;1.7825;1;2.65;2.416683475;0.233316525
5;1.5525;1;1.85;1.99185564;-0.14185564
5;1.352;1;1.18;1.640149764;-0.460149764
5;1.1775;1;0.66;1.349861792;-0.689861792
5;1.0255;1;0.28;1.110337237;-0.830337237
5;0.8935;1;0.07;0.913470468;-0.843470468
6;195.45;1;100;95.35953749;4.640462515
6;170.2295;1;99.59;94.40202288;5.187977116
6;148.2635;1;98.55;93.26090275;5.289097253
6;129.132;1;96.93;91.90711721;5.022882791
6;112.4695;1;94.57;90.30967014;4.260329859
6;97.957;1;91.46;88.43657075;3.023429251
6;85.317;1;87.63;86.25648462;1.373515376
6;74.308;1;83.17;83.74094162;-0.570941619
6;64.7195;1;78.24;80.8670756;-2.627075604
6;56.3685;1;73.01;77.62109014;-4.611090138
6;49.095;1;67.64;74.00142191;-6.361421914
6;42.76;1;62.3;70.02237525;-7.722375247
6;37.2425;1;57.11;65.71652574;-8.606525745
6;32.437;1;52.16;61.13553125;-8.975531254
6;28.2515;1;47.51;56.34892412;-8.838924123
6;24.606;1;43.18;51.44093311;-8.260933114
6;21.431;1;39.17;46.50514939;-7.335149393
6;18.6655;1;35.46;41.63653874;-6.176538736
6;16.257;1;32.04;36.9260715;-4.886071495
6;14.1595;1;28.88;32.4526831;-3.572683099
6;12.3325;1;25.96;28.27796862;-2.317968618
6;10.741;1;23.26;24.445347;-1.185346996
6;9.355;1;20.77;20.98052458;-0.21052458
6;8.148;1;18.48;17.89090608;0.589093922
6;7.0965;1;16.37;15.1683332;1.201666797
6;6.1805;1;14.43;12.79500047;1.634999525
6;5.383;1;12.65;10.74664947;1.903350525
6;4.6885;1;11.02;8.992640898;2.027359102
6;4.0835;1;9.52;7.500603761;2.019396239
6;3.5565;1;8.13;6.238988639;1.891011361
6;3.0975;1;6.84;5.177672802;1.662327198
6;2.698;1;5.64;4.289209467;1.350790533
6;2.35;1;4.53;3.54744527;0.98255473
6;2.0465;1;3.52;2.929264127;0.590735873
6;1.7825;1;2.62;2.416683475;0.203316525
6;1.5525;1;1.83;1.99185564;-0.16185564
6;1.352;1;1.17;1.640149764;-0.470149764
6;1.1775;1;0.66;1.349861792;-0.689861792
6;1.0255;1;0.29;1.110337237;-0.820337237
6;0.8935;1;0.09;0.913470468;-0.823470468
6;0.778;1;0.02;0.750571294;-0.730571294
6;0.6775;1;0.02;0.616631342;-0.596631342
6;0.5905;1;0.02;0.507103859;-0.487103859
6;0.5145;1;0.02;0.4167508;-0.3967508
6;0.448;1;0.02;0.342134319;-0.322134319
